City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
323,Iqaluit,CA,63.7506,-68.5145,3.9,92,100,4.83,overcast clouds
324,Saint-Jerome,CA,45.7804,-74.0036,16.84,67,100,9.24,overcast clouds
325,Pundaguitan,PH,6.3711,126.1689,80.51,76,100,6.11,heavy intensity rain
326,Aripuana,BR,-9.1667,-60.6333,73.4,99,100,2.91,moderate rain
327,Barrow,US,71.2906,-156.7887,-16.58,76,1,5.75,clear sky
328,Husavik,IS,66.0449,-17.3389,31.03,87,100,14.38,light snow
329,Tigil,RU,57.8,158.6667,7.61,93,100,3.38,overcast clouds
330,Olgod,DK,55.8068,8.6286,33.84,1,100,12.77,overcast clouds
331,Dunmore,US,41.4198,-75.6324,34.43,91,90,0.0,mist
332,Port Hedland,AU,-20.3167,118.5667,113.05,7,5,13.8,clear sky
333,East Stroudsburg,US,40.9995,-75.1813,36.0,87,100,3.58,light snow
334,Siauliai,LT,55.9333,23.3167,15.82,92,90,9.22,mist
335,Syracuse,IT,37.0881,15.2792,59.05,79,73,16.93,broken clouds
336,Beaverlodge,CA,55.2166,-119.4361,-22.65,96,100,4.7,overcast clouds
337,Eureka,US,40.8021,-124.1637,37.67,93,99,1.99,overcast clouds
338,Vestmanna,FO,62.1564,-7.1664,40.12,100,90,3.44,overcast clouds
339,Marsh Harbour,BS,26.5412,-77.0636,73.63,65,0,3.29,clear sky
340,Pumiao,CN,22.75,108.4833,46.56,61,100,3.49,overcast clouds
341,Biak,ID,-0.9131,122.8766,86.67,58,90,6.4,overcast clouds
342,Ponta Delgada,PT,37.7333,-25.6667,68.5,94,75,20.71,broken clouds
343,The Valley,AI,18.217,-63.0578,78.82,74,25,18.39,scattered clouds
